how in:1
name of:38
of heaven:4
heaven did:1
did harry:2
harry survive:1
we can:127
can only:19
only guess:1
we may:60
may never:4
never know:6
mcgonagall pulled:1
pulled out:17
out a:71
a lace:1
lace handkerchief:1
handkerchief and:3
and dabbed:1
dabbed at:1
at her:18
her eyes:23
eyes beneath:1
beneath her:2
her spectacles:1
dumbledore gave:3
gave a:67
a great:472
great sniff:1
sniff as:1
he took:83
took a:62
a golden:22
golden watch:1
watch from:1
his pocket:28
pocket and:5
and examined:5
examined it:4
very odd:4
odd watch:1
had twelve:1
twelve hands:1
hands but:1
no numbers:1
little planets:1
planets were:1
were moving:9
moving around:2
have made:29
made sense:1
sense to:5
to dumbledore:9
put it:49
it back:33
back in:50
hagrid late:1
suppose it:10
he who:3
who told:4
told you:29
you i:14
i be:34
be here:10
the way:221
and i:504
don suppose:29
suppose you:24
you going:37
me why:3
why you:8
all places:2
i come:41
to bring:31
bring harry:1
harry to:6
his aunt:12
aunt and:10
and uncle:15
they the:3
only family:2
family he:1
he has:161
has left:3
left now:4
you don:72
don mean:2
mean you:3
can mean:1
mean the:7
who live:4
live here:8
